,isolate,morphotype,tree_sp,rep,control,treatment
1,COL,SNPV,DO,1,0.380047471,0.231383253
2,COL,SNPV,DO,2,0.084871949,0.021998223
3,COL,SNPV,DO,3,0.434773792,0.508696392
4,COL,SNPV,DO,4,0.161378213,-0.010097205
5,COL,SNPV,DO,5,0.314535811,0.335989769
6,COL,SNPV,DO,6,0.104174705,0.234833034
7,COL,SNPV,DO,7,0.171431348,0.403325269
8,COL,SNPV,DO,8,0.244614211,0.391254381
9,COL,SNPV,DO,9,0.534002213,0.459240669
10,COL,SNPV,DO,10,0.33983476,0.307268738
11,COL,SNPV,DO,11,0.385002973,0.310912226
12,COL,SNPV,DO,12,0.372533762,0.268073061
13,COL,SNPV,DO,13,0.054717356,0.374137199
14,COL,SNPV,DO,14,0.268250194,0.342500357
15,COL,SNPV,DO,15,0.147631307,0.119289385
16,COL,SNPV,DO,16,0.052447054,0.230900738
17,COL,SNPV,GR,1,0.352753153,0.220246103
18,COL,SNPV,GR,2,0.055462574,0.043417975
19,COL,SNPV,GR,3,0.3526903,0.304760013
20,COL,SNPV,GR,4,0.306729315,0.288760248
21,COL,SNPV,GR,5,0.365975193,0.476658859
22,COL,SNPV,GR,6,0.329162792,0.232546503
23,COL,SNPV,GR,7,0.370209318,0.343381695
24,COL,SNPV,GR,8,0.249299917,0.190807594
25,COL,SNPV,GR,9,0.113160494,0.136877524
26,COL,SNPV,GR,10,0.149883409,0.110183313
27,COL,SNPV,GR,11,0.318561229,0.324507547
28,COL,SNPV,GR,12,0.415454185,0.556249728
29,COL,SNPV,GR,13,0.505751024,0.61588475
30,COL,SNPV,GR,14,0.135038225,0.024590086
31,COL,SNPV,GR,15,0.399811754,0.145044683
32,COL,SNPV,GR,16,0.392097239,0.603037678
33,CTRL,SNPV,DO,1,-0.014964937,0.203477045
34,CTRL,SNPV,DO,2,-0.026110167,0.023366822
35,CTRL,SNPV,DO,3,0.399474584,0.385730649
36,CTRL,SNPV,DO,4,0.435826395,0.529929239
37,CTRL,SNPV,DO,5,0.547963934,0.591889121
38,CTRL,SNPV,DO,6,0.419307866,0.285978972
39,CTRL,SNPV,DO,7,0.298486849,0.229461148
40,CTRL,SNPV,DO,8,0.608961964,0.400311484
41,CTRL,SNPV,DO,9,0.214453692,0.322248296
42,CTRL,SNPV,DO,10,0.415414273,0.39833668
43,CTRL,SNPV,DO,11,0.24253958,0.489288018
44,CTRL,SNPV,DO,12,0.352653364,0.23892646
45,CTRL,SNPV,DO,13,0.51316834,0.469574951
46,CTRL,SNPV,DO,14,0.482167007,0.508650554
47,CTRL,SNPV,DO,15,0.503606354,0.547251255
48,CTRL,SNPV,DO,16,0.123176984,0.231162183
49,CTRL,SNPV,GR,2,0.37186539,0.388736082
50,CTRL,SNPV,GR,3,0.050455444,0.175061616
51,CTRL,SNPV,GR,4,0.084879812,0.16187809
52,CTRL,SNPV,GR,5,0.145718384,0.130312828
53,CTRL,SNPV,GR,6,0.028701375,0.104133437
54,CTRL,SNPV,GR,7,0.617385186,0.501158151
55,CTRL,SNPV,GR,8,0.282468412,0.158005245
56,CTRL,SNPV,GR,9,0.229060866,0.190003285
57,CTRL,SNPV,GR,1,0.099274724,0.061209393
58,CTRL,SNPV,GR,10,0.422793422,0.342053485
59,CTRL,SNPV,GR,11,0.385591694,0.470973986
60,CTRL,SNPV,GR,12,0.175448842,0.263169548
61,CTRL,SNPV,GR,13,0.436222289,0.367692078
62,CTRL,SNPV,GR,14,0.259896352,0.374422574
63,CTRL,SNPV,GR,15,0.495005969,0.440633211
64,CTRL,SNPV,GR,16,0.604766166,0.462779687
65,CTRL,SNPV,GR,17,0.137445562,0.26626217
66,CTRL,SNPV,GR,18,0.130746504,0.144002843
67,CTRL,SNPV,GR,19,0.122670108,0.134929101
68,CTRL,SNPV,GR,20,0.21040658,0.243710228
69,DRY,MNPV,DO,1,0.514711458,0.320424768
70,DRY,MNPV,DO,2,0.625999955,0.464719272
71,DRY,MNPV,DO,3,0.249412789,0.047549196
72,DRY,MNPV,DO,4,0.378788945,0.305622317
73,DRY,MNPV,DO,5,0.38734628,0.261520223
74,DRY,MNPV,DO,6,0.338841317,0.396316693
75,DRY,MNPV,DO,7,0.705602855,0.621823897
76,DRY,MNPV,DO,8,0.149750083,0.017999017
77,DRY,MNPV,DO,9,0.363012265,0.274525884
78,DRY,MNPV,DO,10,0.428847359,0.290523907
79,DRY,MNPV,DO,11,0.430908148,0.445777672
80,DRY,MNPV,DO,13,0.504689217,0.418891468
81,DRY,MNPV,DO,14,0.405130467,0.522281569
82,DRY,MNPV,DO,15,0.374535563,0.41350067
83,DRY,MNPV,DO,16,0.232496251,0.008593112
84,DRY,MNPV,GR,1,0.692853332,0.281479174
85,DRY,MNPV,GR,2,0.453912257,0.097072179
86,DRY,MNPV,GR,3,0.572264955,0.253125659
87,DRY,MNPV,GR,4,0.406553691,0.433331703
88,DRY,MNPV,GR,5,0.554483009,NA
89,DRY,MNPV,GR,6,0.499674077,0.21650286
90,DRY,MNPV,GR,7,0.525019439,0.225712659
91,DRY,MNPV,GR,8,0.410379906,0.287190254
92,DRY,MNPV,GR,9,0.696039545,0.071055477
93,DRY,MNPV,GR,10,0.457380021,0.407259744
94,DRY,MNPV,GR,11,0.629759407,0.099887682
95,DRY,MNPV,GR,12,0.684421493,0.257446856
96,DRY,MNPV,GR,13,0.492309637,0.065485502
97,DRY,MNPV,GR,14,0.416434213,0.240261656
98,DRY,MNPV,GR,15,0.382160955,0.175856439
99,DRY,MNPV,GR,16,0.383819831,0.037531654
100,LOV,SNPV,DO,1,0.313945822,0.406566078
101,LOV,SNPV,DO,2,0.365654633,0.709643584
102,LOV,SNPV,DO,3,0.404083743,0.542249297
103,LOV,SNPV,DO,4,0.358261479,0.466641001
104,LOV,SNPV,DO,5,0.286549092,0.499669684
105,LOV,SNPV,DO,6,0.555197559,0.463860282
106,LOV,SNPV,DO,7,0.420854131,0.349655804
107,LOV,SNPV,DO,8,0.422180982,0.52033321
108,LOV,SNPV,DO,10,0.499505474,0.614855437
109,LOV,SNPV,DO,11,0.342988578,0.445225302
110,LOV,SNPV,DO,12,0.339879311,0.477326102
111,LOV,SNPV,DO,13,0.254993453,0.488729101
112,LOV,SNPV,DO,14,0.322490515,0.351518312
113,LOV,SNPV,DO,15,0.150365197,0.147506801
114,LOV,SNPV,DO,16,0.292078498,0.267285389
115,LOV,SNPV,GR,1,0.412854473,0.305425864
116,LOV,SNPV,GR,2,0.515131463,0.770503774
117,LOV,SNPV,GR,3,0.084222123,0.092534538
118,LOV,SNPV,GR,4,0.220063875,0.187786986
119,LOV,SNPV,GR,5,0.33294566,0.267762596
120,LOV,SNPV,GR,6,0.29470884,0.212736054
121,LOV,SNPV,GR,7,0.340555931,0.215630846
122,LOV,SNPV,GR,8,0.270615048,0.28611805
123,LOV,SNPV,GR,9,0.398438436,0.400640323
124,LOV,SNPV,GR,10,0.58546379,0.568299587
125,LOV,SNPV,GR,11,0.419214794,0.494066521
126,LOV,SNPV,GR,12,0.516183693,0.414114575
127,LOV,SNPV,GR,13,0.203280706,0.089379328
128,LOV,SNPV,GR,14,0.053926167,0.048712424
129,LOV,SNPV,GR,15,0.274535914,0.03772884
130,LOV,SNPV,GR,16,0.340074886,0.24542771
131,TAM,MNPV,DO,1,0.653802749,0.675521816
132,TAM,MNPV,DO,2,0.099691943,0.154661226
133,TAM,MNPV,DO,3,0.261056488,0.297604652
134,TAM,MNPV,DO,4,0.698619005,0.231005701
135,TAM,MNPV,DO,5,0.218097307,0.135488282
136,TAM,MNPV,DO,6,0.46295521,0.566883206
137,TAM,MNPV,DO,7,0.361417554,0.258520713
138,TAM,MNPV,DO,8,0.239772745,0.392877802
139,TAM,MNPV,DO,9,0.346692508,0.24300645
140,TAM,MNPV,DO,10,0.227035343,-0.003733133
141,TAM,MNPV,DO,11,0.221969233,0.452899275
142,TAM,MNPV,DO,12,0.424432106,0.215984844
143,TAM,MNPV,DO,13,0.212197018,-0.046152082
144,TAM,MNPV,DO,14,0.285414953,0.439517401
145,TAM,MNPV,DO,15,0.342214924,0.347053684
146,TAM,MNPV,DO,16,0.387652446,0.274180622
147,TAM,MNPV,GR,1,0.711819687,0.476508997
148,TAM,MNPV,GR,2,0.633742058,0.460068814
149,TAM,MNPV,GR,3,0.438494023,0.392645845
150,TAM,MNPV,GR,4,0.202862315,0.042897756
151,TAM,MNPV,GR,5,0.488111049,0.573102411
152,TAM,MNPV,GR,6,0.246717458,0.474739855
153,TAM,MNPV,GR,7,0.104181764,0.00623934
154,TAM,MNPV,GR,8,0.604988107,0.597720408
155,TAM,MNPV,GR,9,0.331164185,0.240679112
156,TAM,MNPV,GR,10,0.269208118,0.314266372
157,TAM,MNPV,GR,11,0.253149583,0.316056869
158,TAM,MNPV,GR,12,0.288645168,0.213079611
159,TAM,MNPV,GR,13,0.337168115,0.423213327
160,TAM,MNPV,GR,14,0.342711371,0.273650918
161,TAM,MNPV,GR,15,0.423358314,0.512996028
162,TAM,MNPV,GR,16,0.324636813,0.335884089